genre,file_path,tempo,spectral_centroid,zero_crossing_rate,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_var_0,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12
blues,C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\blues\blues.00000.wav,123.046875,1784.1226412753101,0.08304482066898686,-113.59882,121.57067,-19.162262,42.363937,-6.362266,18.621933,-13.699734,15.339802,-12.274304,10.970944,-8.326061,8.802088,-3.6699412,2569.3694,295.8471,235.58444,151.03874,167.99287,89.17242,67.60309,69.001495,82.21985,63.346542,61.76499,51.28075,41.215897
blues,C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\blues\blues.00001.wav,107.666015625,1530.2617669893777,0.05603980870552978,-207.52383,123.98514,8.947019,35.86715,2.909594,21.519472,-8.556513,23.370676,-10.103608,11.899242,-5.558824,5.3778763,-2.234492,7769.1045,559.91345,572.3363,264.7167,279.97607,156.3668,200.80205,142.56712,166.11464,104.35725,105.15637,96.20453,64.87307
blues,C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\blues\blues.00002.wav,161.4990234375,1552.8324814348227,0.07629120746326373,-90.757164,140.44087,-29.084547,31.686691,-13.976547,25.753752,-13.664991,11.634442,-11.778322,9.714756,-13.125314,5.7912464,-8.901966,3317.887,508.85614,412.0644,143.95421,155.66135,74.391716,106.84102,106.520256,65.48224,67.84235,57.67196,64.49476,60.390575
blues,C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\blues\blues.00003.wav,172.265625,1070.1534175250663,0.03330886262567672,-199.57513,150.0861,5.663404,26.855278,1.7700715,14.232647,-4.8278456,9.286853,-0.7561202,8.134435,-3.200026,6.078081,-2.478445,5508.2666,456.30908,257.10977,158.36113,267.97372,126.80741,155.94673,81.2703,92.3018,71.381836,110.269356,48.21452,56.776222
blues,C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\blues\blues.00004.wav,135.99917763157896,1835.12851277257,0.10146053871809745,-160.35417,126.209496,-35.581394,22.139256,-32.47355,10.850701,-23.35007,0.49324897,-11.796538,1.2035191,-13.084959,-2.8104997,-6.9344707,5199.1035,853.27124,334.0323,193.75323,336.4254,134.86504,93.29354,124.73352,129.9754,99.71713,80.243164,86.4365,89.548325
blues,C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\blues\blues.00005.wav,112.34714673913044,1832.0115969728529,0.09404153373936582,-177.80174,118.20316,-17.57063,30.760927,-21.742554,11.919263,-20.734299,3.1852882,-8.580818,-0.9328851,-11.772245,-2.408764,-9.348446,7307.454,3195.2058,654.1079,485.68988,433.27664,266.4076,169.70601,133.70337,172.22574,100.121,76.554756,78.802635,80.10772
blues,C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\blues\blues.00006.wav,123.046875,1459.4696908114731,0.07305223740815932,-190.0688,130.27023,-36.36211,33.036213,11.093891,-0.591882,-20.890266,0.2784424,-6.496385,-5.5127354,-7.847404,-3.1243007,-6.6028214,9653.348,1933.7037,1307.0305,480.19315,1082.9683,280.1115,151.6834,102.85332,131.09853,153.40236,87.5064,64.21006,79.14685
blues,C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\blues\blues.00007.wav,92.28515625,1451.859413795751,0.061442246108855375,-179.3723,136.44833,-26.662588,39.96545,5.3108945,10.919135,-20.559534,8.503361,-11.349764,-3.470555,-8.415842,-6.957211,-3.5460427,6573.5034,1479.0458,591.20874,353.40616,650.0896,136.288,163.69316,151.28441,171.91978,178.22743,147.56088,83.71853,93.2653
blues,C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\blues\blues.00008.wav,83.35433467741936,1719.4633657271252,0.06402488761600927,-121.38979,122.49833,-14.734729,46.12214,-8.179258,20.172466,-19.171894,23.036839,-11.832729,21.154655,-6.7227974,6.989506,-12.730549,2619.6743,414.5375,341.22403,193.91731,177.07607,106.9469,57.659283,77.1547,42.568737,58.8517,48.918488,56.535206,61.94805
blues,C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\blues\blues.00009.wav,129.19921875,1817.2305900912734,0.07917482356921887,-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.182701,9.017152,-14.10431,4.271254,-6.0507803,3.7858355,0.22263563,6132.9727,798.2638,669.0846,350.93396,531.99756,278.2447,126.45182,67.96417,110.09561,92.602684,84.85938,104.41364,76.34565
